ID,section,section ID,height,weight_gram
MS_BH_66,Deltadalen,DD-1-8,NA,0.038
MS_BH_67R,Deltadalen,DD-1-11,NA,0.0421
MS_BH_68,Deltadalen,DD-1-3,NA,0.0574
MS_BH_69,Deltadalen,DD-1-42,NA,0.0327
MS_BH_70,Deltadalen,DD-1-26,NA,0.0302
MS_BH_71,Deltadalen,DD-1-12,NA,0.0542
MS_BH_72,Deltadalen,DD-1-38,NA,0.0377
MS_BH_73,Deltadalen,DD-1-36,NA,0.03
MS_BH_74,Deltadalen,DD-1-35,NA,0.0382
MS_BH_75,Deltadalen,DD-1-34,NA,0.0394
MS_BH_76,Deltadalen,DD-1-39,NA,0.03
MS_BH_77,Deltadalen,DD-1-33,NA,0.0387
MS_BH_78,Deltadalen,DD-1-41,NA,0.0547
MS_BH_79,Deltadalen,DD-1-37,NA,0.0534
MS_BH_80,Deltadalen,DD-1-23,NA,0.0498
MS_BH_81,Deltadalen,DD-1-30,NA,0.0456
MS_BH_82,Deltadalen,DD-1-16,NA,0.0286
MS_BH_83,Deltadalen,DD-1-17,NA,0.0358
MS_BH_84,Deltadalen,DD-1-40,NA,0.0328
MS_BH_85,Deltadalen,DD-1-27,NA,0.0394
MS_BH_86,Deltadalen,DD-1-5,NA,0.0606
MS_BH_87,Deltadalen,DD-1-2,NA,0.0534
MS_BH_88,Standard,KL134,NA,0.0598
MS_BH_89,Standard,WHIT,NA,0.0403
MS_BH_90,Standard,BHW,NA,0.061
MS_Fe_279,Standard,WHIT,NA,0.0747
MS_Fe_280,Standard,BHW,NA,0.0858
MS_Fe_281,Standard,KL134,NA,0.088
MS_Fe_319,Standard,KL134,NA,0.0938
MS_Fe_320,Standard,BHW,NA,0.0694
MS_Fe_321,Standard,WHIT,NA,0.0674
MS_Fe_329,Standard,WHIT,NA,0.0732
MS_Fe_330,Standard,BHW,NA,0.1005
MS_Fe_331,Standard,KL134,NA,0.102
